"reef_number","reef_id","latitude","long","replicate_reef","reef_name","reef_zone","reef_area_ha","reef_visibility","image_date","image_year","enterer_initials","entered_date","distance_mainland_km","number_reef_nearest_1","zone_reef_nearest_1","area_reef_nearest_1","distance_reef_nearest_1","number_reef_nearest_2","zone_reef_nearest_2","area_reef_nearest_2","reef_nearest_2","number_reef_nearest_3","zone_reef_nearest_3","area_reef_nearest_3","reef_nearest_3","patch_id","replicate_patch","patch_zone_colour","patch_zone_name","patch_perimeter_m","patch_area_m2","patch_rugosity","halo_id","halo_perimeter_m","halo_area_m2","halo_rugosity","halo_width_1","halo_width_2","halo_width_3","halo_width_4","halo_width_5","notes","old_zone","zone_broad","zone_broad_pre2003","inital_reserve_estab_year","reserve_age","image_month","image_season","imagery_used","halos_present","zone_specific","abs_latitude","log_distance_mainland_km","log10_patch_area_m2","halos_present_bin","zone_broad_adj","temp_sst","chl_log"
"13-102","R0175",13.9,143.60296,1,"U/N Reef","CPZ",289.57,"NP","1/08/06",2006,"AH","28/07/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,8,"winter",NA,NA,"fished",13.9,NA,NA,NA,"fished",300.208343505859,0.864800447984087
"13-104","R0177",13.9,143.893901,3,"Kestrel Reef","HPZ",123.2,"BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.9,NA,NA,NA,"fished",300.032562255859,0.493664202081343
"13-108","R0174",13.8,143.997334,2,"Hedge Reef","MNPZ",15284.85,"HP","23/04/04",2004,"AH","13/07/11",21.78,"13-093C","HPZ","1776.67",0.34,"13-093A","HPZ",4935.78,0.25,"13-100","MNPZ",55.5,0.4,"P017401",1,"green","MNPZ",35.7,85.97,NA,"H017401",130.09,1244.14,NA,10.5,7.2,17.35,22.5,13.15,"","HPZ","protected","fished",2003,1,4,"autumn","imagery used in analysis","halos","young reserve",13.8,1.35755371974308,1.93434692673826,1,"fished",299.917327880859,0.626436857098397
"13-111","R4113",13.95,143.753359,2,"Burkitt Reef","HPZ",115.95,"NH","28/11/05",2005,"AH","4/10/12",10.39,"13-114","CPZ","30.13",7.61,"13-105","CPZ",25.57,7.73,"13-113","HPZ",279.85,8.04,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,11,"spring","imagery used in analysis","no halos","fished",13.95,1.0565237240791,NA,0,"fished",300.161346435547,0.678552777434526
"13-112","R4112",13.95,143.647879,1,"U/N Reef","CPZ",248.65,"SR","8/01/06",2006,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"possible halos but too much SR","HPZ","fished","fished",NA,0,1,"summer",NA,NA,"fished",13.95,NA,NA,NA,"fished",300.228271484375,1.86418502029218
"13-116","R0165",13.5,144.066864,5,"U/N Reef","HPZ",2727.44,"BR","2004",2004,"AH","13/07/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.5,NA,NA,NA,"fished",299.984832763672,1.04645929665919
"13-117B","R0167",13.6,144.095261,2,"U/N Reef","HPZ",260.88,"BR","2004",2004,"AH","13/07/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.6,NA,NA,NA,"fished",299.945343017578,0.981384667298128
"13-119","R0172",13.7,144.190026,5,"U/N Reef","HPZ",1823.75,"BR","2004",2004,"AH","13/07/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.7,NA,NA,NA,"fished",299.930328369141,0.99668275351686
"13-120","R4108",13.75,144.249256,5,"Sand Bank No 5 Reef","HPZ",1798.81,"HP","29/10/08",2008,"AH","22/10/14",65.85,"13-121","HPZ","433.62",0.43,"13-119","HPZ",1823.75,1.41,"13-125","HPZ",7078.9,5.15,"P410801",1,"dark blue","HPZ",32.99,83.59,NA,"H410801",75.54,443.27,NA,6.07,6.46,7.3,6.05,6.61,"","HPZ","fished","fished",NA,0,10,"spring","imagery used in analysis","halos","fished",13.75,1.825101411598,1.92215432523106,1,"fished",299.924957275391,0.99668275351686
"13-121","R4613",13.78,144.266007,1,"U/N Reef","HPZ",433.62,"NH","29/10/08",2008,"AH","22/10/14",47.62,"13-120","HPZ","1798.81",0.49,"13-125","HPZ",7078.9,1.08,"13-119","HPZ",1823.75,9.81,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,10,"spring","imagery used in analysis","no halos","fished",13.78,1.68681495450732,NA,0,"fished",299.920135498047,0.844923707104269
"13-122","R0178",13.9,144.014904,4,"U/N Reef","HPZ",2066.22,"BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.9,NA,NA,NA,"fished",299.904083251953,0.436757961005449
"13-123","R4111",13.85,144.137984,3,"U/N Reef","HPZ",298.7,"BR","2003",2003,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.85,NA,NA,NA,"fished",299.866149902344,-0.204682962374312
"13-124","R4110",13.85,144.079941,2,"U/N Reef","HPZ",2066.26,"BR","2003",2003,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.85,NA,NA,NA,"fished",299.875152587891,0.436757961005449
"13-125","R0180",13.9,144.325347,6,"U/N Reef","HPZ",7078.9,"BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.9,NA,NA,NA,"fished",299.888397216797,0.155140960184496
"13-128","R4114",13.95,144.347034,3,"Joan Reef","HPZ",132.48,"BR","2003",2003,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.95,NA,NA,NA,"fished",299.864959716797,1.30330159957754
"13-129","R4115",13.95,144.402019,4,"Wilson Reef","HPZ",1635.15,"BR","2003",2003,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",13.95,NA,NA,NA,"fished",299.894073486328,1.30330159957754
"13-133","R0182",14,144.51971,2,"Tydeman Reef","HPZ",1373.09,"BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14,NA,NA,NA,"fished",299.883728027344,0.467197686124073
"14-003","R0181",14,143.991879,1,"Grub Reef","MNPZ",2885.06,"BR","23/04/04",2004,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,29,4,"autumn",NA,NA,"mature reserve",14,NA,NA,NA,"protected",299.995635986328,1.72754254724836
"14-010","R0184",14.1,143.698919,1,"U/N Reef","CPZ",1006.99,"NP","28/11/05",2005,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,11,"spring",NA,NA,"fished",14.1,NA,NA,NA,"fished",300.329010009766,1.96220822178087
"14-014","R4122",14.25,143.729244,1,"U/N Reef","MNPZ",457.18,"NP","2006",2006,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,31,NA,NA,NA,NA,"mature reserve",14.25,NA,NA,NA,"protected",300.437774658203,2.32590182949211
"14-016","R0179",13.9,144.089764,5,"Corbett Reef","MNPZ",22291.55,"HP","23/04/04",2004,"AH","2/08/11",26.3,"14-003","MNPZ","2885.06",1.98,"13-126","MNPZ",25.92,0.3,"13-124","HPZ",2066.26,0.91,"P017901",1,"green","MNPZ",45.23,123.34,NA,"H017901",220.98,3693.84,NA,22.11,33.23,27.96,24.58,26.69,"","MNPZ","protected","protected",1975,29,4,"autumn","imagery used in analysis","halos","mature reserve",13.9,1.43616264704076,2.09110394409029,1,"protected",299.87744140625,-0.204682962374312
"14-017","R4116",14.05,144.260152,1,"Clack Reef","MNPZ",1288.09,"HP","2004",2004,"AH","4/10/12",18.98,"14-018","MNPZ","371.72",6.2,"14-023","GUZ",20.34,6.56,"14-026A","CPZ",87.05,5.67,"P411603",3,"green","MNPZ",24.49,44.47,NA,"H411603",54.62,222.65,NA,3.74,6.14,4.7,3.91,3.64,"","MNPZ","protected","protected",1975,29,NA,NA,"imagery used in analysis","halos","mature reserve",14.05,1.30059548388996,1.64806712944893,1,"protected",299.842163085938,-0.217356676002044
"14-018","R0185",14.1,144.320983,2,"King Island Reef","MNPZ",371.72,"BR","2004",2004,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","MNPZ","protected","protected",1975,29,NA,NA,NA,NA,"mature reserve",14.1,NA,NA,NA,"protected",299.836608886719,0.332779724416443
"14-019","R0186",14.1,144.485935,3,"Aylen Patch","GUZ",75.44,"DR, BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.1,NA,NA,NA,"fished",299.821380615234,0.30325626816137
"14-020","R0187",14.1,144.498668,4,"Oswald Shoal","GUZ",74.35,"DR, BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.1,NA,NA,NA,"fished",299.821380615234,0.30325626816137
"14-025","R4119",14.15,144.48561,3,"Boulder Rock Reef","CPZ",25.87,"DR","22/05/03",2003,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,5,"autumn",NA,NA,"fished",14.15,NA,NA,NA,"fished",299.806732177734,0.30325626816137
"14-026B","R4118",14.15,144.261484,2,"Stanley Island Reef (No 2)","CPZ",53.75,"NH","5/03/04",2004,"AH","4/10/12",11.84,"14-026A","CPZ","87.05",0.37,"14-042C","CPZ",159.46,0.86,"14-042A","CPZ",113.55,1.15,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","CPZ","fished","fished",NA,0,3,"autumn","imagery used in analysis","no halos","fished",14.15,1.10856502373283,NA,0,"fished",299.865295410156,0.332779724416443
"14-026E","R4117",14.15,144.224617,1,"Stanley Island Reef (No 5)","CPZ",275.78,"NP","5/03/04",2004,"AH","4/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","CPZ","fished","fished",NA,0,3,"autumn",NA,NA,"fished",14.15,NA,NA,NA,"fished",299.894744873047,0.160684595402615
"14-028","R4121",14.15,144.729093,5,"U/N Reef","MNPZ",3398.51,"HP","2011",2011,"AH","4/10/12",13.7,"14-034","MNPZ","16859.31",0,"14-043","MNPZ",1456.11,0,"14-051","MNPZ",14355.26,0,"P412101",1,"green","MNPZ",53.19,204.17,NA,"H412101",114.42,997.97,NA,8.51,10.15,13.53,5.97,7.22,"","MNPZ","protected","protected",1975,36,NA,NA,"imagery used in analysis","halos","mature reserve",14.15,1.16731733474818,2.30999192878118,1,"protected",299.823852539062,-0.0779199252271428
"14-034","R0183",14,144.71553,3,"U/N Reef","MNPZ",16859.31,"HP","23/04/04",2004,"AH","2/08/11",20.03,"14-028","MNPZ","3398.51",0,"14-043","MNPZ",1456.11,0,"14-160","MNPZ",5.6,1.13,"P018301",1,"green","MNPZ",35.06,88.75,NA,"H018301",80.12,485.95,NA,7.98,9.7,6.63,8.43,4.64,"","MNPZ","protected","protected",1975,29,4,"autumn","imagery used in analysis","halos","mature reserve",14,1.32283927268632,1.94816836172713,1,"protected",299.945861816406,-0.035196634513892
"14-036","R0188",14.1,144.539139,5,"Pipon Shoals","GUZ",116.65,"DR, BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.1,NA,NA,NA,"fished",299.820983886719,0.86331790326772
"14-037","R0189",14.1,144.574944,6,"Melanie Patches","GUZ",67.99,"DR, BR","2003",2003,"AH","2/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.1,NA,NA,NA,"fished",299.822967529297,0.86331790326772
"14-039","R4120",14.15,144.643172,4,"North Warden Reef","MNPZ",1265.06,"NH","2011",2011,"AH","4/10/12",8.21,"14-048","MNPZ","1628.61",0,"14-051","MNPZ",14355.26,3.27,"14-040","GUZ",25.04,3.33,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,36,NA,NA,"imagery used in analysis","no halos","mature reserve",14.15,0.964259630196849,NA,0,"protected",299.797302246094,-0.162745594249377
"14-045","R0192",14.2,144.892998,3,"Sand Bank No 1 Reef","MNPZ",608.1,"HP","23/04/04",2004,"AH","10/08/11",29.71,"14-047","MNPZ","1436.31",0.37,"14-160","MNPZ",5.6,1.91,"14-034","MNPZ",16859.31,1.83,"P019201",1,"green","MNPZ",29.29,61.61,NA,"H019201",57.44,243.59,NA,5.02,5.85,4.08,3.87,2.8,"","MNPZ","protected","protected",1975,29,4,"autumn","imagery used in analysis","halos","mature reserve",14.2,1.48727981644307,1.78965120879341,1,"protected",299.855804443359,0.959060580478069
"14-047","R0193",14.2,144.92807,4,"U/N Reef","MNPZ",1436.31,"HP","23/04/04",2004,"AH","10/08/11",31.79,"14-045","MNPZ","608.1",0.4,"14-049","MNPZ",78.63,0.67,"14-073","HPZ",458.4,3.77,"P019301",1,"green","MNPZ",29.22,58.68,NA,"H019301",65.49,312.74,NA,8.61,4.44,3.65,5.95,6.19,"","MNPZ","protected","protected",1975,29,4,"autumn","imagery used in analysis","halos","mature reserve",14.2,1.51574141666937,1.76849010517125,1,"protected",299.882232666016,0.927186957495307
"14-048","R0190",14.2,144.674754,1,"Broomfield Rock Reef","MNPZ",1628.61,"BR","23/04/04",2004,"AH","9/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"possibly halos but could also be sand build up, not sure due to resolution","MNPZ","protected","protected",1975,29,4,"autumn",NA,NA,"mature reserve",14.2,NA,NA,NA,"protected",299.773742675781,0.443947363228043
"14-051","R0191",14.2,144.75651,2,"South Warden Reef","MNPZ",14355.26,"HP","23/04/04",2004,"AH","9/08/11",7.27,"14-048","MNPZ","1628.61",0,"14-028","MNPZ",3398.51,0,"14-043","MNPZ",1456.11,0,"P019101",1,"green","MNPZ",51.21,188.13,NA,"H019101",103.43,781.87,NA,7.27,10.73,6.85,7.74,7.27,"","MNPZ","protected","protected",1975,29,4,"autumn","imagery used in analysis","halos","mature reserve",14.2,0.917505509552547,2.27445805549501,1,"protected",299.806518554688,0.831200357788412
"14-052","R0195",14.3,144.690131,2,"Unison Reef","MNPZ",118.62,"BR","2005",2005,"AH","11/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Halos may be present but resolution bad","HPZ","protected","fished",2003,2,NA,NA,NA,NA,"young reserve",14.3,NA,NA,NA,"fished",299.715362548828,0.814368205399068
"14-053","R0196",14.3,144.799008,3,"U/N Reef","MNPZ",1229.81,"NH","23/04/04",2004,"AH","11/08/11",13.52,"14-051","MNPZ","14355.26",1.99,"14-055","MNPZ",1879.02,0.21,"14-061","MNPZ",1585.29,1.5,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","protected","fished",2003,1,4,"autumn","imagery used in analysis","no halos","young reserve",14.3,1.16196661636407,NA,0,"fished",299.734313964844,1.378105426269
"14-056","R4124",14.35,144.959831,2,"U/N Reef","HPZ",1218.3,"NH","2004",2004,"AH","5/10/12",28.66,"14-062","HPZ","943.46",0,"14-063","MNPZ",4083.6,3.96,"14-080","HPZ",775.8,4.08,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,"imagery used in analysis","no halos","fished",14.35,1.47217114669236,NA,0,"fished",299.769195556641,1.00427701592584
"14-059","R0194",14.3,144.58464,1,"U/N Reef","MNPZ",382.43,"NP","14/09/04",2004,"AH","11/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,29,9,"spring",NA,NA,"mature reserve",14.3,NA,NA,NA,"protected",299.716125488281,0.732571715158416
"14-061","R4123",14.35,144.754482,1,"Switzer Reef","MNPZ",1585.29,"NH","2005",2005,"AH","5/10/12",8.78,"14-057C","MNPZ","14.25",1.3,"14-055","MNPZ",1879.02,0.6,"14-053","MNPZ",1229.81,1.47,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","protected","fished",2003,2,NA,NA,"imagery used in analysis","no halos","young reserve",14.35,0.990338854787601,NA,0,"fished",299.702972412109,1.60218229470285
"14-063","R0201",14.4,144.940057,2,"Combe Reef","MNPZ",4083.6,"HP","2004",2004,"AH","17/08/11",20.84,"14-064","HPZ","673.1",1.55,"14-062","HPZ",943.46,0.59,"14-066","HPZ",1374.9,0.78,"P020101",1,"green","MNPZ",62.02,140.06,NA,"H020101",141.38,1537.45,NA,18.05,15.83,19.48,6.08,6.76,"image date blank","MNPZ","protected","protected",1975,29,NA,NA,"imagery used in analysis","halos","mature reserve",14.4,1.3392526340327,2.14631412201197,1,"protected",299.711944580078,1.00427701592584
"14-066","R4126",14.45,144.951669,1,"Mid Reef","HPZ",1374.9,"HP","2004",2004,"AH","5/10/12",16.51,"14-072","HPZ","96.19",0.56,"14-063","MNPZ",4083.6,0.77,"14-087","HPZ",1162.86,1.86,"P412601",1,"dark blue","HPZ",105.41,737.12,NA,"H412601",149.06,1609.08,NA,6.86,2.61,5.67,7.66,6.68,"","HPZ","fished","fished",NA,0,NA,NA,"imagery used in analysis","halos","fished",14.45,1.24328614608345,2.8675381949086,1,"fished",299.694427490234,1.94222054951396
"14-067","R0200",14.4,144.635054,1,"U/N Reef","MNPZ",1057.22,"NP","31/01/05",2005,"AH","17/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,30,1,"summer",NA,NA,"mature reserve",14.4,NA,NA,NA,"protected",299.674041748047,1.94538674826032
"14-074","R0197",14.3,145.056479,4,"U/N Reef","HPZ",4498.94,"BR","2004",2004,"AH","11/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.3,NA,NA,NA,"fished",299.862030029297,-0.203990317618234
"14-075","R0198",14.3,145.179848,5,"U/N Reef","HPZ",873.5,"BR","2004",2004,"AH","11/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.3,NA,NA,NA,"fished",299.913055419922,0.850098794519297
"14-077A","R0199",14.3,145.212794,6,"U/N Reef","HPZ",1303.87,"BR","2004",2004,"AH","11/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.3,NA,NA,NA,"fished",299.93994140625,0.850098794519297
"14-079","R0205",14.4,145.37141,6,"Jewell Reef","HPZ",4959.32,"BR","2007",2007,"AH","17/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.4,NA,NA,NA,"fished",299.931976318359,1.07191821483034
"14-080","R4125",14.35,145.013582,3,"U/N Reef","HPZ",775.8,"BR","2004",2004,"AH","5/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.35,NA,NA,NA,"fished",299.790588378906,0.0385930115375298
"14-081","R0202",14.4,145.034486,3,"U/N Reef","HPZ",196.38,"BR","2004",2004,"AH","17/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.4,NA,NA,NA,"fished",299.748168945312,0.0385930115375298
"14-082","R0203",14.4,145.105488,4,"Crescent Reef","HPZ",2934.08,"BR","2004",2004,"AH","17/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.4,NA,NA,NA,"fished",299.792541503906,-0.608204175367735
"14-083","R0204",14.4,145.314939,5,"Parke Reef","HPZ",2665.67,"BR","2007",2007,"AH","17/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.4,NA,NA,NA,"fished",299.900817871094,0.354500860248206
"14-085","R4127",14.45,145.408483,2,"Hilder Reef","PZ",1303.57,"BR","2007",2007,"AH","5/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","PZ","protected","protected",1975,32,NA,NA,NA,NA,"mature reserve",14.45,NA,NA,NA,"protected",299.921600341797,0.294119643814819
"14-086","R4128",14.45,145.48191,3,"Hicks Reef","HPZ",2376.47,"BR","2007",2007,"AH","5/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.45,NA,NA,NA,"fished",299.956970214844,0.533559808892481
"14-088","R0208",14.5,145.200076,3,"Waining Reef","HPZ",15131.86,"BR","2007",2007,"AH","18/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",14.5,NA,NA,NA,"fished",299.759857177734,0.272691631954348
"14-089","R0209",14.5,145.539293,4,"Day Reef","MNPZ",2386.27,"BR","2007",2007,"AH","18/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"image date blank","HPZ","protected","fished",2003,4,NA,NA,NA,NA,"young reserve",14.5,NA,NA,NA,"fished",299.954681396484,0.78612730008581
"14-090","R0207",14.5,144.970128,2,"Howick Reef","CPZ",331.01,"HP","23/04/04",2004,"AH","18/08/11",12.69,"14-072","HPZ","96.19",1.46,"14-092","HPZ",63.51,3.06,"14-094","CPZ",89.14,0.53,"P020704",4,"yellow","CPZ",26.16,43.85,NA,"H020704",57.43,245.24,NA,6.87,7.4,5.42,3.14,2.42,"","CPZ","fished","fished",NA,0,4,"autumn","imagery used in analysis","halos","fished",14.5,1.13640344813399,1.64196959770206,1,"fished",299.667358398438,1.94222054951396
"14-091","R0206",14.5,144.765717,1,"Noble Reef","MNPZ",60.9,"BR","31/01/05",2005,"AH","18/08/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","protected","fished",2003,2,1,"summer",NA,NA,"young reserve",14.5,NA,NA,NA,"fished",299.638153076172,0.220280611617674
"14-099","R4130",14.55,144.870351,2,"Leggatt Reef","MNPZ",37.25,"NH","2005",2005,"AH","5/10/12",7.08,"14-096","MNPZ","7.36",1.21,"14-100","PZ",8.11,1.57,"14-102","MNPZ",80.77,1.24,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","protected","fished",2003,2,NA,NA,"imagery used in analysis","no halos","young reserve",14.55,0.907411360774586,NA,0,"fished",299.631439208984,0.786331882182762
"14-100","R4129",14.55,144.850233,1,"U/N Reef","PZ",8.11,"SR","2005",2005,"AH","5/10/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","protected","fished",2003,2,NA,NA,NA,NA,"young reserve",14.55,NA,NA,NA,"fished",299.631439208984,0.786331882182762
